
game_date,home_team,away_team,home_win_prob,away_win_prob,fair_spread,fair_total,merge_key,home_spread_consensus,home_spread_dispersion,total_consensus,ml_home_consensus,ml_away_consensus,home_ml_prob_consensus,home_win_prob_model,fair_total_model,fair_spread_model,home_win_prob_market,market_weight,fair_spread_market,fair_total_market,consensus_close,book_dispersion,consensus_total,pred_file_date,home_team_norm,away_team_norm,merge_key_norm,home_score,away_score,home_win_actual,prob_bin,expected_margin,spread_error,actual_margin
2023-10-24,denver nuggets,los angeles lakers,0.7127892005732094,0.2872107994267906,-6.083958583682789,227.50671194321492,denver nuggets__los angeles lakers__2023-10-24,-8.954545454545455,1.2135597524338355,231.6818181818182,-429.54545454545456,303.1818181818182,0.7624798998919506,0.5841577628680049,221.6537844792865,-2.0597887125741945,0.7883372866844977,0.5836565410077188,-8.954545454545455,231.6818181818182,-8.954545454545455,1.2135597524338355,231.6818181818182,2023-10-24,denver nuggets,los angeles lakers,denver nuggets__los angeles lakers__2023-10-24,119,107,1,8,8.954545454545455,-3.045454545454545,12
2023-10-24,golden state warriors,phoenix suns,0.555113817980852,0.444886182019148,-1.7254186301086585,231.9075191674929,golden state warriors__phoenix suns__2023-10-24,-2.5,0.0,235.0,-141.06666666666666,119.33333333333331,0.5620290064215092,0.4633322953795722,221.46353224633685,0.8905127643497885,0.581858093302183,0.7715444760934602,-2.5,235.0,-2.5,0.0,235.0,2023-10-24,golden state warriors,phoenix suns,golden state warriors__phoenix suns__2023-10-24,104,108,0,6,2.5,6.5,-4
2023-10-25,brooklyn nets,cleveland cavaliers,0.3547034039818174,0.6452965960181827,3.777787425216843,222.78958221833497,brooklyn nets__cleveland cavaliers__2023-10-25,5.416666666666667,3.5021638332824345,222.875,198.08333333333331,-263.6666666666667,0.3402161036523605,0.3656025314150086,222.76677403322924,3.3401752515414795,0.3152763346792728,0.2107459585374595,5.416666666666667,222.875,5.416666666666667,3.5021638332824345,222.875,2023-10-25,brooklyn nets,cleveland cavaliers,brooklyn nets__cleveland cavaliers__2023-10-25,113,114,0,4,-5.416666666666667,-4.416666666666667,-1
2023-10-25,charlotte hornets,atlanta hawks,0.311786131582319,0.688213868417681,5.322814603096847,227.77090317388823,charlotte hornets__atlanta hawks__2023-10-25,8.545454545454545,1.1281521496355322,228.95454545454547,295.45454545454544,-425.45454545454544,0.2431539450608139,0.4854848645431986,225.9451674537624,0.3519809720104132,0.2196940007132965,0.6066820850191552,8.545454545454545,228.95454545454547,8.545454545454545,1.1281521496355322,228.95454545454547,2023-10-25,charlotte hornets,atlanta hawks,charlotte hornets__atlanta hawks__2023-10-25,116,110,1,3,-8.545454545454545,-14.545454545454545,6
2023-10-25,chicago bulls,oklahoma city thunder,0.5636100600497939,0.4363899399502061,-1.9567607304401529,223.62245682085825,chicago bulls__oklahoma city thunder__2023-10-25,-2.6,0.280305955290694,224.36666666666667,-141.13333333333333,119.93333333333334,0.562666885793215,0.5003160090557277,221.3674027413945,-0.0076608266134295,0.5841508690971075,0.7518691704529024,-2.6,224.36666666666667,-2.6,0.280305955290694,224.36666666666667,2023-10-25,chicago bulls,oklahoma city thunder,chicago bulls__oklahoma city thunder__2023-10-25,104,124,0,6,2.6,22.6,-20
2023-10-25,indiana pacers,washington wizards,0.5912444313863155,0.4087555686136844,-2.3574776971625138,227.20963107329555,indiana pacers__washington wizards__2023-10-25,-3.5,2.224859546128699,247.4090909090909,-173.1818181818182,130.63636363636363,0.611098449116243,0.575098585796136,217.9626603160216,-1.8344503286212204,0.6257952014197907,0.3140268810526194,-3.5,247.4090909090909,-3.5,2.224859546128699,247.4090909090909,2023-10-25,indiana pacers,washington wizards,indiana pacers__washington wizards__2023-10-25,143,120,1,7,3.5,-19.5,23
2023-10-25,los angeles clippers,portland trail blazers,0.7432764048125823,0.2567235951874177,-7.139434025218916,225.13161367514093,los angeles clippers__portland trail blazers__2023-10-25,-9.071428571428571,0.1815682598006405,225.76666666666668,-410.1428571428572,316.2857142857143,0.7697025967244316,0.5421479963784456,223.1215160923876,-1.024200148596764,0.7933985920812626,0.759918018391506,-9.071428571428571,225.76666666666668,-9.071428571428571,0.1815682598006405,225.76666666666668,2023-10-25,los angeles clippers,portland trail blazers,los angeles clippers__portland trail blazers__2023-10-25,123,111,1,8,9.071428571428571,-2.928571428571429,12
2023-10-25,memphis grizzlies,new orleans pelicans,0.522873423000306,0.4771265769996939,-0.857064890810767,223.4636760465264,memphis grizzlies__new orleans pelicans__2023-10-25,-1.1,0.2070196678027063,224.4,-115.33333333333331,,0.5125454995908001,0.5039703941486978,220.5313478987452,-0.0962540025309977,0.5288981728414307,0.7579715288511171,-1.1,224.4,-1.1,0.2070196678027063,224.4,2023-10-25,memphis grizzlies,new orleans pelicans,memphis grizzlies__new orleans pelicans__2023-10-25,104,111,0,6,1.1,8.1,-7
2023-10-25,miami heat,detroit pistons,0.8041374501212794,0.1958625498787206,-9.232399362986358,223.5465942017606,miami heat__detroit pistons__2023-10-25,-10.083333333333334,0.5149286505444373,224.83333333333331,-539.4166666666666,370.4166666666667,0.7976761891251488,0.7595560357065092,220.12731451099413,-6.971194141509721,0.8192084715080399,0.7265758637715829,-10.083333333333334,224.83333333333331,-10.083333333333334,0.5149286505444373,224.83333333333331,2023-10-25,miami heat,detroit pistons,miami heat__detroit pistons__2023-10-25,103,102,1,9,10.083333333333334,9.083333333333334,1
2023-10-25,new york knicks,boston celtics,0.2498241198358846,0.7501758801641154,7.3442788995513,217.50814659575136,new york knicks__boston celtics__2023-10-25,9.181818181818182,0.6809084840390548,214.0,314.09090909090907,-450.0,0.2298516850605098,0.3784112697902935,225.78703901266928,3.007860903743553,0.2050253301292805,0.7023725303716508,9.181818181818182,214.0,9.181818181818182,0.6809084840390548,214.0,2023-10-25,new york knicks,boston celtics,new york knicks__boston celtics__2023-10-25,104,108,0,3,-9.181818181818182,-5.181818181818182,-4
2023-10-25,orlando magic,houston rockets,0.7429745278858897,0.2570254721141103,-7.022838939687626,219.7107070514957,orlando magic__houston rockets__2023-10-25,-9.318181818181818,0.7507571935295484,217.27272727272728,-485.45454545454544,333.6363636363636,0.7801851254672826,0.5779029873558458,225.1475704567494,-1.904065680255866,0.8016430651609942,0.6904091012612193,-9.318181818181818,217.27272727272728,-9.318181818181818,0.7507571935295484,217.27272727272728,2023-10-25,orlando magic,houston rockets,orlando magic__houston rockets__2023-10-25,116,86,1,9,9.318181818181818,-20.68181818181818,30
2023-10-25,san antonio spurs,dallas mavericks,0.3759215364311974,0.6240784635688026,3.612119958709909,229.78407380111489,san antonio spurs__dallas mavericks__2023-10-25,4.1,0.2803059552906941,230.7333333333333,146.2,-172.53333333333333,0.390982482918547,0.4128796836707224,226.90769210224929,2.133779026247578,0.3640126981912561,0.7518691704529024,4.1,230.7333333333333,4.1,0.2803059552906941,230.7333333333333,2023-10-25,san antonio spurs,dallas mavericks,san antonio spurs__dallas mavericks__2023-10-25,119,126,0,4,-4.1,2.9000000000000004,-7
2023-10-25,toronto raptors,minnesota timberwolves,0.4804962226839805,0.5195037773160194,0.6992053429374577,221.9975109760825,toronto raptors__minnesota timberwolves__2023-10-25,0.875,0.9076693430779936,219.29166666666663,,-116.75,0.4921628452863729,0.4852054614575209,227.2376676285131,0.3587602040717577,0.47806583007263,0.6594709310496902,0.875,219.29166666666663,0.875,0.9076693430779936,219.29166666666663,2023-10-25,toronto raptors,minnesota timberwolves,toronto raptors__minnesota timberwolves__2023-10-25,97,94,1,5,-0.875,-3.875,3
2023-10-25,utah jazz,sacramento kings,0.4904424594500406,0.5095575405499593,0.5177862755576386,231.50625606984545,utah jazz__sacramento kings__2023-10-25,1.5,0.0,233.9333333333333,104.73333333333332,-124.13333333333334,0.4686676033966382,0.6134636867814317,223.30948313271043,-2.799365179036691,0.4535532665302213,0.7715444760934602,1.5,233.9333333333333,1.5,0.0,233.9333333333333,2023-10-25,utah jazz,sacramento kings,utah jazz__sacramento kings__2023-10-25,114,130,0,5,-1.5,14.5,-16
2023-10-26,los angeles lakers,phoenix suns,0.6533747133577854,0.3466252866422146,-4.55310887493036,225.42250915160335,los angeles lakers__phoenix suns__2023-10-26,-6.433333333333334,0.1759328876372492,226.59375,-247.5625,201.25,0.6818569922226702,0.4420182979789855,221.70670656318563,1.4119690327471766,0.712417042553438,0.7603375407769875,-6.433333333333334,226.59375,-6.433333333333334,0.1759328876372492,226.59375,2023-10-26,los angeles lakers,phoenix suns,los angeles lakers__phoenix suns__2023-10-26,100,95,1,8,6.433333333333334,1.4333333333333336,5
2023-10-26,milwaukee bucks,philadelphia 76ers,0.6956522990794114,0.3043477009205886,-5.664692415340514,225.18386031163092,milwaukee bucks__philadelphia 76ers__2023-10-26,-9.625,1.0897247358851674,225.91666666666663,-497.4166666666667,331.25,0.7781196644603465,0.4709612936096862,224.0052709264475,0.7047617375423962,0.8042359023054704,0.6166119136837224,-9.625,225.91666666666663,-9.625,1.0897247358851674,225.91666666666663,2023-10-26,milwaukee bucks,philadelphia 76ers,milwaukee bucks__philadelphia 76ers__2023-10-26,118,117,1,9,9.625,8.625,1
2023-10-27,atlanta hawks,new york knicks,0.4779008592531429,0.522099140746857,0.8943307135727196,220.997165885736,atlanta hawks__new york knicks__2023-10-27,2.0,0.957427107756338,222.1153846153846,,-132.0,0.4629000042320683,0.5471073910137629,218.93428969332024,-1.145394419964331,0.440570313695116,0.6484799237229464,2.0,222.1153846153846,2.0,0.957427107756338,222.1153846153846,2023-10-27,atlanta hawks,new york knicks,atlanta hawks__new york knicks__2023-10-27,120,126,0,5,-2.0,4.0,-6
2023-10-27,boston celtics,miami heat,0.695737618073588,0.304262381926412,-5.522769323815292,222.94424638603985,boston celtics__miami heat__2023-10-27,-6.1923076923076925,1.1094003924504583,221.65384615384616,-259.2307692307692,200.30769230769232,0.6800293576066874,0.6764105529143962,224.97587931149093,-4.468634211045197,0.7076694764017173,0.611563108807591,-6.1923076923076925,221.65384615384616,-6.1923076923076925,1.1094003924504583,221.65384615384616,2023-10-27,boston celtics,miami heat,boston celtics__miami heat__2023-10-27,119,111,1,8,6.1923076923076925,-1.8076923076923075,8
2023-10-27,charlotte hornets,detroit pistons,0.5554735138268698,0.4445264861731302,-1.0795629254045402,217.40322814375503,charlotte hornets__detroit pistons__2023-10-27,1.5454545454545454,1.1281521496355325,213.5909090909091,,-126.63636363636364,0.472980518564388,0.6997727076271796,223.28362561268665,-5.128580302378225,0.4547868661510972,0.6066820850191551,1.5454545454545454,213.5909090909091,1.5454545454545454,1.1281521496355325,213.5909090909091,2023-10-27,charlotte hornets,detroit pistons,charlotte hornets__detroit pistons__2023-10-27,99,111,0,5,-1.5454545454545454,10.454545454545455,-12
2023-10-27,chicago bulls,toronto raptors,0.5618617862001566,0.4381382137998434,-1.9303548169261264,217.05128540088785,chicago bulls__toronto raptors__2023-10-27,-2.433333333333333,0.1759328876372492,216.2333333333333,-136.66666666666666,115.66666666666669,0.5545837162584693,0.5138003061188444,219.6462669659361,-0.3346378678947029,0.576815857040321,0.7603375407769875,-2.433333333333333,216.2333333333333,-2.433333333333333,0.1759328876372492,216.2333333333333,2023-10-27,chicago bulls,toronto raptors,chicago bulls__toronto raptors__2023-10-27,104,103,1,6,2.433333333333333,1.4333333333333331,1
2023-10-27,cleveland cavaliers,oklahoma city thunder,0.5616138412705863,0.4383861587294136,-1.341551473694639,223.39106133419156,cleveland cavaliers__oklahoma city thunder__2023-10-27,1.1538461538461535,1.5327618779050365,221.15384615384616,,,0.4792533005152881,0.6495876006125753,225.5420479248268,-3.740769431045807,0.4659001964283561,0.4901749515849111,1.1538461538461535,221.15384615384616,1.1538461538461535,1.5327618779050365,221.15384615384616,2023-10-27,cleveland cavaliers,oklahoma city thunder,cleveland cavaliers__oklahoma city thunder__2023-10-27,105,108,0,5,-1.1538461538461535,1.8461538461538465,-3
2023-10-27,dallas mavericks,brooklyn nets,0.7069927257785181,0.2930072742214819,-5.889448200986305,227.15657700666924,dallas mavericks__brooklyn nets__2023-10-27,-5.833333333333333,0.2439750182371334,230.16666666666663,-237.4,194.26666666666668,0.6741728898417331,0.7311155930425336,217.8811201170843,-6.0623636601824105,0.6988974786535866,0.754989356977386,-5.833333333333333,230.16666666666663,-5.833333333333333,0.2439750182371334,230.16666666666663,2023-10-27,dallas mavericks,brooklyn nets,dallas mavericks__brooklyn nets__2023-10-27,125,120,1,7,5.833333333333333,0.833333333333333,5
